#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
737909|1996-04-03T13:04:35.450000|40.687|15.53|5.0|BULLETIN-VAX||||Md|4.5|--|4 km NE Balvano (PZ)|earthquake
741879|1996-04-13T13:00:22.800000|46.319|12.627|5.0|BULLETIN-VAX||||Md|4.3|--|9 km SW Forni di Sotto (UD)|earthquake
767959|1996-09-05T20:44:09.930000|42.756|18.165|10.0|BULLETIN-VAX||||ML|4.9|--|Bosnia and Herz. [Land]|earthquake
774689|1996-10-15T09:56:00.700000|44.797|10.662|5.0|BULLETIN-VAX||||Md|4.6|--|4 km N Bagnolo in Piano (RE)|earthquake
777559|1996-10-20T19:06:56.650000|42.559|13.164|5.0|BULLETIN-VAX||||Md|4.0|--|6 km NE Borbona (RI)|earthquake
787789|1996-12-21T08:45:42.370000|39.828|13.16|618.9|BULLETIN-VAX||||Md|4.0|--|Tirreno Meridionale (MARE)|earthquake
800589|1997-03-19T23:10:49.210000|41.382|14.629|9.5|BULLETIN-VAX||||Md|4.1|--|3 km W Sassinoro (BN)|earthquake
813279|1997-05-12T13:50:15.880000|42.805|12.597|5.0|BULLETIN-VAX||||Md|4.6|--|4 km SE Giano dell'Umbria (PG)|earthquake
843039|1997-09-03T22:07:30.300000|43.059|12.841|5.0|BULLETIN-VAX||||Md|4.4|--|7 km E Valtopina (PG)|earthquake
848119|1997-09-26T00:33:11.750000|43.018|12.913|7.9|BULLETIN-VAX||||ML|5.6|--|7 km SW Serravalle di Chienti (MC)|earthquake
849549|1997-09-26T09:40:24.950000|43.024|12.926|5.5|BULLETIN-VAX||||ML|5.8|--|6 km SW Serravalle di Chienti (MC)|earthquake
852409|1997-09-27T08:08:06.890000|43.09|12.842|7.3|BULLETIN-VAX||||ML|4.3|--|5 km SE Nocera Umbra (PG)|earthquake
853159|1997-09-27T17:13:02.070000|43.019|12.901|4.6|BULLETIN-VAX||||ML|4.0|--|7 km SW Serravalle di Chienti (MC)|earthquake
853319|1997-09-27T19:56:41.730000|43.035|12.936|5.0|BULLETIN-VAX||||ML|4.0|--|4 km SW Serravalle di Chienti (MC)|earthquake
862089|1997-10-02T10:59:55.430000|43.087|12.835|9.6|BULLETIN-VAX||||Md|4.0|--|5 km SE Nocera Umbra (PG)|earthquake
862669|1997-10-02T19:38:01.880000|43.616|12.163|5.0|BULLETIN-VAX||||Md|4.1|--|5 km NE Sansepolcro (AR)|earthquake
863069|1997-10-02T21:38:42.230000|43.629|12.15|4.5|BULLETIN-VAX||||Md|4.0|--|6 km N Sansepolcro (AR)|earthquake
864329|1997-10-03T08:55:20.640000|43.023|12.89|4.7|BULLETIN-VAX||||Md|4.7|--|8 km SW Serravalle di Chienti (MC)|earthquake
867199|1997-10-04T06:49:57.980000|42.914|12.935|5.0|BULLETIN-VAX||||Md|4.1|--|3 km N Sellano (PG)|earthquake
868039|1997-10-04T15:07:19.360000|42.92|12.983|4.2|BULLETIN-VAX||||Md|4.1|--|6 km NE Sellano (PG)|earthquake
868189|1997-10-04T16:13:31.410000|42.917|12.977|4.0|BULLETIN-VAX||||Md|4.3|--|5 km NE Sellano (PG)|earthquake
868539|1997-10-04T18:47:46.630000|42.917|12.973|5.0|BULLETIN-VAX||||Md|4.3|--|5 km NE Sellano (PG)|earthquake
873319|1997-10-06T23:24:51.520000|43.01|12.918|3.4|BULLETIN-VAX||||ML|5.4|--|7 km W Monte Cavallo (MC)|earthquake
874369|1997-10-07T05:09:55.410000|43.01|12.919|5.2|BULLETIN-VAX||||Md|4.1|--|7 km W Monte Cavallo (MC)|earthquake
884399|1997-10-12T11:08:35.290000|42.897|13.008|5.0|BULLETIN-VAX||||Md|4.7|--|3 km NW Preci (PG)|earthquake
887439|1997-10-13T11:01:44.920000|42.878|13.051|3.5|BULLETIN-VAX||||Md|4.0|--|1 km E Preci (PG)|earthquake
887629|1997-10-13T13:09:19.770000|42.864|13.002|3.8|BULLETIN-VAX||||Md|4.0|--|4 km SW Preci (PG)|earthquake
889969|1997-10-14T15:23:09.050000|42.907|12.969|4.6|BULLETIN-VAX||||ML|5.5|--|4 km NE Sellano (PG)|earthquake
895169|1997-10-15T22:53:09.270000|42.922|12.992|5.7|BULLETIN-VAX||||Md|4.1|--|6 km NW Preci (PG)|earthquake
896199|1997-10-16T12:00:30.520000|43.032|12.898|7.9|BULLETIN-VAX||||Md|4.1|--|6 km SW Serravalle di Chienti (MC)|earthquake
905599|1997-10-25T03:08:04.870000|42.8|13.049|4.9|BULLETIN-VAX||||Md|4.0|--|4 km W Norcia (PG)|earthquake
917279|1997-11-08T15:31:53.290000|42.862|13.052|10.0|BULLETIN-VAX||||Md|4.0|--|2 km SE Preci (PG)|earthquake
918119|1997-11-09T19:07:32.630000|42.854|13.059|10.7|BULLETIN-VAX||||Md|4.6|--|3 km SE Preci (PG)|earthquake
933289|1997-12-24T09:40:07.740000|37.677|15.07|5.0|BULLETIN-VAX||||Md|4.1|--|4 km SW Zafferana Etnea (CT)|earthquake
933429|1997-12-24T17:53:09.390000|44.135|10.56|4.4|BULLETIN-VAX||||Md|4.1|--|8 km NE Coreglia Antelminelli (LU)|earthquake
934549|1997-12-31T16:02:14.250000|42.834|13|5.0|BULLETIN-VAX||||Md|4.0|--|6 km SW Preci (PG)|earthquake
944339|1998-01-17T12:32:49.400000|38.33|12.868|10.0|BULLETIN-VAX||||Md|4.1|--|Costa Siciliana nord-occidentale (Trapani)|earthquake
950689|1998-02-21T02:21:11.960000|44.801|10.731|5.0|BULLETIN-VAX||||Md|4.0|--|5 km S Novellara (RE)|earthquake
952049|1998-03-01T07:22:42.600000|43.351|17.976|10.0|BULLETIN-VAX||||ML|4.3|--|Bosnia and Herz. [Land]|earthquake
956699|1998-03-21T16:45:09.680000|42.978|12.906|5.0|BULLETIN-VAX||||Md|4.1|--|8 km W Monte Cavallo (MC)|earthquake
962089|1998-03-26T16:26:17.040000|43.175|12.86|47.8|BULLETIN-VAX||||Md|4.7|--|6 km W Fiuminata (MC)|earthquake
966539|1998-04-03T07:26:36.480000|43.177|12.786|9.6|BULLETIN-VAX||||Md|4.7|--|6 km S Gualdo Tadino (PG)|earthquake
966719|1998-04-03T07:59:52.350000|43.189|12.774|9.2|BULLETIN-VAX||||Md|4.0|--|5 km S Gualdo Tadino (PG)|earthquake
971469|1998-04-05T15:52:20.330000|43.177|12.774|10.0|BULLETIN-VAX||||Md|4.5|--|6 km S Gualdo Tadino (PG)|earthquake
978399|1998-04-12T10:55:32.070000|46.4|13.705|5.0|BULLETIN-VAX||||Md|5.2|--|V3 Tarvisio (ITALIA, AUSTRIA, SLOVENIA)|earthquake
988739|1998-05-06T02:52:59.820000|46.3|13.7|5.0|BULLETIN-VAX||||Md|4.2|--|Confine Italia-Slovenia (SLOVENIA)|earthquake
991679|1998-05-16T10:55:14.120000|43.425|18.327|10.0|BULLETIN-VAX||||ML|4.0|--|Bosnia and Herz. [Land]|earthquake
992159|1998-05-18T17:19:01.840000|39.143|15.42|312.0|BULLETIN-VAX||||ML|5.1|--|Tirreno Meridionale (MARE)|earthquake
996669|1998-06-02T23:11:22.310000|43.17|12.817|9.5|BULLETIN-VAX||||Md|4.2|--|7 km NE Nocera Umbra (PG)|earthquake
998269|1998-06-05T21:53:11.760000|43.179|12.818|9.4|BULLETIN-VAX||||Md|4.1|--|6 km SE Gualdo Tadino (PG)|earthquake
